NTD,Agency,Mode,TOS,Organization,UZA_ID,UZA_Name,UZA_Area,UZA_Pop,SA_Area,SA_Pop,Passenger_Miles,Unlinked_Trips,Avg_Trip_Length, Fares , Operating_Expenses , Average_Cost , Average_Fare 
1,King County Department of Metro Transit,DR,PT,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,8887848,887915,10.01,949074,75141400,84.63,1.07
1,King County Department of Metro Transit,DR,TX,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,2398907,177791,13.49,190037,3189701,17.94,1.07
1,King County Department of Metro Transit,FB,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,3464136,701608,4.94,3381600,7199636,10.26,4.82
1,King County Department of Metro Transit,MB,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,473228334,103527532,4.57,141830486,611275588,5.90,1.37
1,King County Department of Metro Transit,MB,PT,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,3219577,834720,3.86,1050808,9755214,11.69,1.26
1,King County Department of Metro Transit,SR,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,2027877,1863409,1.09,1633354,11522476,6.18,0.88
1,King County Department of Metro Transit,TB,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,32207119,17373451,1.85,23528006,69385308,3.99,1.35
1,King County Department of Metro Transit,VP,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,2134,2149970,61644511,3300186,18.68,7447385,10099727,3.06,2.26
2,Spokane Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,96,"Spokane, WA",164,387847,248,436261,1955913,231791,8.44,600245,10580963,45.65,2.59
2,Spokane Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,96,"Spokane, WA",164,387847,248,436261,2017042,209306,9.64,190663,3980709,19.02,0.91
2,Spokane Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,96,"Spokane, WA",164,387847,248,436261,40305783,9971798,4.04,9901089,55184075,5.53,0.99
2,Spokane Transit Authority,VP,DO,Independent Public Agency or Authority of Transit Service,96,"Spokane, WA",164,387847,248,436261,4115706,155262,26.51,478372,643499,4.14,3.08
3,Pierce County Transportation Benefit Area Authority,DR,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,292,569490,612901,84997,7.21,131099,5120783,60.25,1.54
3,Pierce County Transportation Benefit Area Authority,DR,PT,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,292,569490,1600025,206145,7.76,266504,10332821,50.12,1.29
3,Pierce County Transportation Benefit Area Authority,MB,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,292,569490,36612409,8376891,4.37,8548604,70828666,8.46,1.02
3,Pierce County Transportation Benefit Area Authority,VP,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,292,569490,21234316,740207,28.69,2874591,4842558,6.54,3.88
5,City of Everett,DR,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,34,111262,664754,125102,5.31,183038,7003707,55.98,1.46
5,City of Everett,MB,DO,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,34,111262,6118032,1606899,3.81,1679854,15385230,9.57,1.05
6,City of Yakima,CB,PT,"City, County or Local Government Unit or Department of Transportation",248,"Yakima, WA",60,129534,33,100715,886272,26746,33.14,249416,516375,19.31,9.33
6,City of Yakima,DR,PT,"City, County or Local Government Unit or Department of Transportation",248,"Yakima, WA",60,129534,33,100715,202273,65844,3.07,95450,1075844,16.34,1.45
6,City of Yakima,MB,DO,"City, County or Local Government Unit or Department of Transportation",248,"Yakima, WA",60,129534,33,100715,3362096,922814,3.64,556432,6792403,7.36,0.60
6,City of Yakima,VP,DO,"City, County or Local Government Unit or Department of Transportation",248,"Yakima, WA",60,129534,33,100715,2117214,41514,51.00,128259,197556,4.76,3.09
7,Lane Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,1334695,187594,7.11,372135,4734803,25.24,1.98
7,Lane Transit District,DR,TX,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,3993466,354931,11.25,0,5770308,16.26,0.00
7,Lane Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,23547144,6133337,3.84,4275560,36282230,5.92,0.70
7,Lane Transit District,MB,PT,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,534133,20738,25.76,34272,492822,23.76,1.65
7,Lane Transit District,RB,DO,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,9519529,3790433,2.51,2768650,11648574,3.07,0.73
7,Lane Transit District,VP,PT,Independent Public Agency or Authority of Transit Service,151,"Eugene, OR",87,247421,482,302200,2327958,40994,56.79,186564,291223,7.10,4.55
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,383,1565010,7869636,854159,9.21,8288165,36369155,42.58,9.70
8,Tri-County Metropolitan Transportation District of Oregon,DR,TX,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,383,1565010,1297271,108056,12.01,1048500,5202738,48.15,9.70
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,383,1565010,207967836,38867576,5.35,45634079,166170441,4.28,1.17
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,383,1565010,200008788,56429170,3.54,59620132,305008691,5.41,1.06
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,383,1565010,3173984,374044,8.49,303185,6808034,18.20,0.81
11,Valley Regional Transit,DR,PT,Independent Public Agency or Authority of Transit Service,108,"Boise City, ID",134,349684,66,338759,632405,107927,5.86,107830,4314550,39.98,1.00
11,Valley Regional Transit,MB,PT,Independent Public Agency or Authority of Transit Service,108,"Boise City, ID",134,349684,66,338759,7257794,1213678,5.98,838555,10915400,8.99,0.69
12,Municipality of Anchorage,DR,PT,"City, County or Local Government Unit or Department of Transportation",149,"Anchorage, AK",85,251243,77,202396,830601,131456,6.32,685839,5693655,43.31,5.22
12,Municipality of Anchorage,MB,DO,"City, County or Local Government Unit or Department of Transportation",149,"Anchorage, AK",85,251243,77,202396,14819330,3251159,4.56,3104663,24260720,7.46,0.95
12,Municipality of Anchorage,MB,PT,"City, County or Local Government Unit or Department of Transportation",149,"Anchorage, AK",85,251243,77,202396,703055,158949,4.42,233684,2115869,13.31,1.47
12,Municipality of Anchorage,VP,PT,"City, County or Local Government Unit or Department of Transportation",149,"Anchorage, AK",85,251243,77,202396,8524142,208840,40.82,1175411,963445,4.61,5.63
16,RiverCities Transit,DR,PT,"City, County or Local Government Unit or Department of Transportation",431,"Longview, WA-OR",33,63952,31,61598,176751,55867,3.16,35305,1745641,31.25,0.63
16,RiverCities Transit,MB,DO,"City, County or Local Government Unit or Department of Transportation",431,"Longview, WA-OR",33,63952,31,61598,1429301,334731,4.27,155120,3089033,9.23,0.46
18,Ben Franklin Transit,DR,DO,Independent Public Agency or Authority of Transit Service,171,"Kennewick-Pasco, WA",102,210975,616,296480,2211516,299448,7.39,319915,14399767,48.09,1.07
18,Ben Franklin Transit,DR,PT,Independent Public Agency or Authority of Transit Service,171,"Kennewick-Pasco, WA",102,210975,616,296480,615641,77866,7.91,43950,1489441,19.13,0.56
18,Ben Franklin Transit,MB,DO,Independent Public Agency or Authority of Transit Service,171,"Kennewick-Pasco, WA",102,210975,616,296480,8826568,2096572,4.21,1069334,19668712,9.38,0.51
18,Ben Franklin Transit,VP,DO,Independent Public Agency or Authority of Transit Service,171,"Kennewick-Pasco, WA",102,210975,616,296480,21616064,652803,33.11,1805700,2601196,3.98,2.77
19,Intercity Transit,CB,DO,Independent Public Agency or Authority of Transit Service,195,"Olympia-Lacey, WA",106,176617,101,185500,4414647,210487,20.97,196279,2896277,13.76,0.93
19,Intercity Transit,DR,DO,Independent Public Agency or Authority of Transit Service,195,"Olympia-Lacey, WA",106,176617,101,185500,1334623,215834,6.18,160775,11129617,51.57,0.74
19,Intercity Transit,MB,DO,Independent Public Agency or Authority of Transit Service,195,"Olympia-Lacey, WA",106,176617,101,185500,14873860,3819398,3.89,2307871,28069964,7.35,0.60
19,Intercity Transit,VP,DO,Independent Public Agency or Authority of Transit Service,195,"Olympia-Lacey, WA",106,176617,101,185500,18731500,491090,38.14,1389142,2479483,5.05,2.83
20,Kitsap Transit,DR,DO,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,1927392,305006,6.32,247519,13133058,43.06,0.81
20,Kitsap Transit,DR,TX,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,23534,3347,7.03,6694,177526,53.04,2.00
20,Kitsap Transit,FB,DO,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,7725778,476936,16.20,2644242,7035476,14.75,5.54
20,Kitsap Transit,FB,PT,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,867394,561860,1.54,759525,1655238,2.95,1.35
20,Kitsap Transit,MB,DO,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,12383128,2349407,5.27,3946357,25370856,10.80,1.68
20,Kitsap Transit,VP,DO,Independent Public Agency or Authority of Transit Service,180,"Bremerton, WA",136,198979,396,254183,3081794,153657,20.06,424041,985721,6.42,2.76
21,Whatcom Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,275,"Bellingham, WA",48,114473,776,225099,1141941,216711,5.27,100209,10422867,48.10,0.46
21,Whatcom Transportation Authority,DR,TX,Independent Public Agency or Authority of Transit Service,275,"Bellingham, WA",48,114473,776,225099,26689,2285,11.68,276,58942,25.80,0.12
21,Whatcom Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,275,"Bellingham, WA",48,114473,776,225099,13312852,4451508,2.99,2473937,21237451,4.77,0.56
21,Whatcom Transportation Authority,VP,DO,Independent Public Agency or Authority of Transit Service,275,"Bellingham, WA",48,114473,776,225099,1254044,33361,37.59,110283,197465,5.92,3.31
23,City of Seattle,MG,PT,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,83,704352,1745302,1939224,0.90,4151874,4202651,2.17,2.14
24,Clark County Public Transportation Benefit Area Authority,DR,DO,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,143,420901,1948246,264391,7.37,496918,14161530,53.56,1.88
24,Clark County Public Transportation Benefit Area Authority,MB,DO,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,143,420901,29567198,5989797,4.94,6200070,43398213,7.25,1.04
24,Clark County Public Transportation Benefit Area Authority,VP,DO,Independent Public Agency or Authority of Transit Service,24,"Portland, OR-WA",524,1849898,143,420901,1112113,40874,27.21,158169,449978,11.01,3.87
25,Salem Area Mass Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,156,"Salem, OR",76,236632,68,230118,1371923,241297,5.69,402005,7189473,29.80,1.67
25,Salem Area Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,156,"Salem, OR",76,236632,68,230118,9043760,2955477,3.06,2196271,26293059,8.90,0.74
25,Salem Area Mass Transit District,VP,PT,Independent Public Agency or Authority of Transit Service,156,"Salem, OR",76,236632,68,230118,2955836,76167,38.81,310822,304079,3.99,4.08
28,County of Pierce,FB,PT,"City, County or Local Government Unit or Department of Transportation",14,"Seattle, WA",1010,3059393,233,844295,1823639,460515,3.96,2778623,6589752,14.31,6.03
29,Snohomish County Public Transportation Benefit Area Corporation,CB,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,260,816720,20690254,1228991,16.84,4337742,15983414,13.01,3.53
29,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,260,816720,33633843,1850710,18.17,15911724,11829750,6.39,8.60
29,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,260,816720,2486254,190637,13.04,431663,8974275,47.08,2.26
29,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,260,816720,38601647,6999159,5.52,8943439,90353654,12.91,1.28
29,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,260,816720,18931431,823759,22.98,3113502,4385753,5.32,3.78
34,Rogue Valley Transportation District,DR,PT,Independent Public Agency or Authority of Transit Service,213,"Medford, OR",65,154081,50,132022,370241,48949,7.56,111858,2280526,46.59,2.29
34,Rogue Valley Transportation District,MB,DO,Independent Public Agency or Authority of Transit Service,213,"Medford, OR",65,154081,50,132022,6606737,1184003,5.58,1189888,10340721,8.73,1.00
35,Washington State Ferries,FB,DO,State Government Unit or Department of Transportation,14,"Seattle, WA",1010,3059393,1945,3919300,190973622,24255403,7.87,76422888,270887660,11.17,3.15
40,Central Puget Sound Regional Transit Authority,CB,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,1087,3158800,193825991,13713451,14.13,27152539,119056187,8.68,1.98
40,Central Puget Sound Regional Transit Authority,CB,PT,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,1087,3158800,61313980,3781076,16.22,9682932,23621671,6.25,2.56
40,Central Puget Sound Regional Transit Authority,CR,PT,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,1087,3158800,116066343,4612415,25.16,17332381,56879437,12.33,3.76
40,Central Puget Sound Regional Transit Authority,LR,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,1087,3158800,163463700,24761684,6.60,43602193,131216111,5.30,1.76
40,Central Puget Sound Regional Transit Authority,SR,DO,Independent Public Agency or Authority of Transit Service,14,"Seattle, WA",1010,3059393,1087,3158800,849182,936957,0.91,0,5583038,5.96,0.00
41,Alaska Railroad Corporation,AR,DO,State Government Unit or Department of Transportation,149,"Anchorage, AK",85,251243,266,352701,24172079,203367,118.86,26097415,50851949,250.05,128.33
43,Chelan Douglas PTBA,DR,DO,Independent Public Agency or Authority of Transit Service,412,"Wenatchee, WA",31,67227,197,108660,211733,54856,3.86,56516,2556617,46.61,1.03
43,Chelan Douglas PTBA,DR,PT,Independent Public Agency or Authority of Transit Service,412,"Wenatchee, WA",31,67227,197,108660,8470,1985,4.27,431,46922,23.64,0.22
43,Chelan Douglas PTBA,MB,DO,Independent Public Agency or Authority of Transit Service,412,"Wenatchee, WA",31,67227,197,108660,11059820,979166,11.30,583264,12428376,12.69,0.60
44,Skagit Transit,CB,DO,Independent Public Agency or Authority of Transit Service,435,"Mount Vernon, WA",34,62966,760,115484,3804671,146079,26.05,82137,1904691,13.04,0.56
44,Skagit Transit,DR,DO,Independent Public Agency or Authority of Transit Service,435,"Mount Vernon, WA",34,62966,760,115484,373359,75496,4.95,9419,4399591,58.28,0.12
44,Skagit Transit,MB,DO,Independent Public Agency or Authority of Transit Service,435,"Mount Vernon, WA",34,62966,760,115484,2308069,560363,4.12,368183,7620536,13.60,0.66
