	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
ntd	1,102	48,776	27,713	1	99,425
uza_id	1,102	120.8	130.0	1	601
uza_area	1,102	651.4	838.5	14	3,450
uza_pop	1,102	2.429e+06	4.203e+06	51,240	1.835e+07
sa_area	1,102	636.1	1,256	1	15,355
sa_pop	1,102	936,893	1.685e+06	12,954	1.164e+07
passenger_miles	1,102	3.757e+07	1.904e+08	5,980	3.930e+09
unlinked_trips	1,102	6.063e+06	2.916e+07	1,158	6.916e+08
avg_trip_length	1,102	8.674	9.067	0.340	93.80
fares	1,102	1.042e+07	5.644e+07	0	8.461e+08
operating_expenses	1,102	3.759e+07	1.418e+08	41,768	2.686e+09
average_cost	1,102	21.44	20.33	0.950	230.0
average_fare	1,102	2.162	2.848	0	30.84
trips_per_person	1,102	5.949	11.51	0.00220	83.45
log_trips_per_person	1,102	0.177	1.992	-6.121	4.424
log_average_fare	1,102	0.367	0.903	-4.605	3.429
					
